File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\build\generated\source\buildConfig\debug\com\example\smallsolutions\BuildConfig.java,13,8,7,0,2,0,3,9,3,9
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\androidTest\java\com\example\smallsolutions\ExampleInstrumentedTest.java,26,15,11,0,5,0,6,24,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\About_Us_Activity.java,16,11,8,0,5,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\AllRandom.java,130,97,78,5,29,0,4,17,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\CallHistory.java,82,61,51,3,17,0,4,24,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\CallLogAdapter.java,97,78,63,3,19,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\callLogRecycler.java,32,25,19,4,7,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\CategoryFragment.java,148,122,105,12,23,0,3,12,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\ChatActivity.java,69,55,46,2,14,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\ChatMessageLoader.java,60,44,31,9,16,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\ChatRecyclerAdapter.java,90,65,52,2,25,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\ChatWindowAdapter.java,93,75,54,8,18,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\EditProfileActivity.java,361,301,245,45,41,0,19,104,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\FragmentAdapter.java,34,29,17,6,5,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\HomeActivity.java,263,199,154,10,46,0,18,75,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\HomeFragment.java,232,176,148,13,48,0,8,37,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\Home_Recycler_Adapter.java,91,72,59,2,19,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\LocalUserProfileFragment.java,171,124,103,3,31,0,16,65,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\LoginActivity.java,107,74,58,1,24,0,9,39,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\LoginFragment.java,199,147,120,5,35,1,17,76,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\LoginFragmentAdapter.java,31,24,15,4,7,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\MainActivity.java,119,93,76,4,20,0,6,21,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\Message_Window_Activity.java,138,103,89,2,35,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\No_Internet_Activity.java,51,42,34,1,9,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\profileActivity.java,202,150,127,5,46,1,6,21,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\RecyclerAdapter.java,93,76,61,2,17,0,0,0,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\SignupActivity.java,218,164,134,7,33,0,21,106,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\SignupFragment.java,321,262,213,40,45,0,14,77,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\main\java\com\example\smallsolutions\UserDetails.java,79,60,44,9,18,0,1,3,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\test\java\com\example\smallsolutions\ExampleUnitTest.java,17,9,6,0,3,0,5,21,0,0
C:\Users\abc\AndroidStudioProjects\Small Solutions\app\src\test\java\com\example\smallsolutions\View.java,5,3,2,0,2,0,0,0,0,0
